<TIMESTAMP>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1484278380,808.99,809.13,808.98,808.98,2904.2415
1484278440,808.99,809.13,808.98,808.98,2904.2415
1484278500,809.1,809.1,809.1,809.1,80.91
1484278560,809.09,809.12,809.08,809.12,93.0452
1484278620,809.12,810.25,809.12,810.01,3644.88385
1484278680,810.0,810.0,806.54,806.54,3668.8943446000003
1484278740,809.09,810.18,809.09,810.18,404.8
1484278800,809.9,810.27,805.43,810.09,29171.137691000004
1484278860,810.0,810.0,810.0,810.0,8.1
1484278920,810.01,810.01,810.01,810.01,4215.2353393
1484278980,810.0,810.0,805.2,805.2,18971.417097999998
1484279040,808.6,808.61,808.6,808.61,27.4788532
1484279100,808.62,808.62,805.03,805.03,4514.7266247
1484279160,806.1,810.65,806.1,810.65,16913.600154
1484279220,806.73,806.73,805.02,805.02,11220.945302
1484279280,806.09,806.1,806.09,806.1,1547.7516351
1484279340,806.1,806.1,805.0,805.0,19641.621148
1484279400,806.0,806.09,806.0,806.09,6096.966351
1484279460,806.01,806.01,805.0,805.39,5189.4940589
1484279520,805.12,805.12,804.0,804.0,35331.530591
1484279580,804.01,804.01,804.0,804.01,772.42964419
1484279640,804.0,804.01,804.0,804.0,3417.5770850000004
1484279700,804.0,805.22,803.01,803.01,55347.248455999994
1484279760,803.1,804.21,803.1,803.1,2510.8981215999997
1484279820,803.08,803.08,802.0,802.0,46357.338126999995
1484279880,802.01,802.02,801.0,801.43,28306.670673
1484279940,801.01,801.01,800.51,800.89,1158.3424676
1484280000,800.5,800.89,800.32,800.89,4579.7023148
1484280060,800.34,800.7,800.33,800.33,1201.9202424
1484280120,800.34,800.34,800.33,800.33,982.725507
1484280180,800.34,800.34,800.3,800.3,16650.475914
1484280240,800.31,800.31,800.3,800.31,8422.6523144
1484280300,800.31,800.31,800.14,800.15,1596.4963135
1484280360,800.15,800.15,800.01,800.01,2460.9429157
1484280420,800.01,800.01,799.88,799.88,36296.263215
1484280480,799.87,799.87,797.0,797.0,25570.422641
1484280540,797.0,797.0,792.05,792.49,38521.368186
1484280600,792.48,794.11,792.29,792.37,26823.863411000002
1484280660,792.36,792.37,792.0,792.37,14848.683291999998
1484280720,792.32,794.88,792.32,794.88,34193.562401999996
1484280780,792.32,794.88,792.32,794.88,34193.562401999996
1484280840,793.22,793.22,793.22,793.22,793.22
1484280900,793.23,795.6,793.23,795.6,44063.606752
1484280960,795.62,795.63,795.62,795.63,79.800999141
1484281020,795.64,795.91,795.64,795.91,437.47198493
1484281080,795.64,795.91,795.64,795.91,437.47198493
1484281140,795.91,798.89,795.91,798.89,7915.143
1484281200,798.87,798.88,795.9,795.91,2445.0168657
1484281260,795.92,795.92,795.91,795.91,342.04598493
1484281320,795.92,800.7,795.92,797.03,58968.468788
1484281380,798.14,798.14,792.27,797.15,28375.103029
1484281440,797.15,799.0,797.15,799.0,5131.86675
1484281500,797.15,799.0,797.15,799.0,5131.86675
1484281560,797.92,799.95,797.92,799.95,1446.1318751
1484281620,800.09,802.8,800.09,802.8,20226.80347
1484281680,800.09,802.8,800.09,802.8,20226.80347
1484281740,800.09,802.8,800.09,802.8,20226.80347
1484281800,802.79,802.79,802.79,802.79,24.0837
1484281860,802.79,802.79,802.79,802.79,24.0837
1484281920,802.79,802.79,802.79,802.79,24.0837
1484281980,802.8,802.8,802.79,802.8,8685.972908
1484282040,802.8,802.81,802.8,802.81,802.80551313
1484282100,802.8,802.81,802.8,802.81,802.80551313
1484282160,802.83,803.78,802.83,803.78,3622.8817978
1484282220,803.05,803.06,803.05,803.06,803.0599
1484282280,803.07,804.51,803.06,804.51,10467.091222
1484282340,803.07,804.51,803.06,804.51,10467.091222
1484282400,803.37,803.4,803.37,803.4,6432.842968
1484282460,803.39,803.39,803.39,803.39,197.78896213
1484282520,803.39,803.39,803.39,803.39,408.12212
1484282580,803.39,803.39,803.39,803.39,408.12212
1484282640,803.39,803.42,803.39,803.41,4256.3300159
1484282700,803.42,803.42,803.42,803.42,598.503736
1484282760,803.41,803.41,803.41,803.41,15.80611159
1484282820,803.42,803.42,803.41,803.41,19.47059765
1484282880,803.42,803.42,803.42,803.42,4159.952294
1484282940,803.42,803.42,803.42,803.42,7.1271629226
1484283000,803.42,803.42,803.41,803.41,6905.6861684
1484283060,803.42,803.42,803.41,803.41,15.186923365
1484283120,803.41,803.41,803.41,803.41,112.4774
1484283180,803.42,803.42,803.42,803.42,13969.3126
1484283240,803.42,803.42,803.42,803.42,13969.3126
1484283300,803.43,803.43,803.43,803.43,8.0343
1484283360,803.43,803.43,803.43,803.43,8.0343
1484283420,803.43,803.84,800.29,800.3,40540.697634
1484283480,800.84,804.47,800.66,801.54,10376.833244
1484283540,801.47,801.48,801.45,801.45,15.322685460999999
1484283600,801.26,801.5,801.26,801.48,109.10863784
1484283660,801.49,801.49,801.49,801.49,9.4922624723
1484283720,801.48,801.49,801.48,801.49,192.20974918
1484283780,801.49,801.5,801.49,801.49,18.540378395999998
1484283840,801.5,801.5,801.49,801.49,20.49622825
1484283900,801.5,801.5,801.49,801.49,184.22205802
1484283960,801.49,801.49,795.36,801.49,36158.542792
1484284020,801.49,801.49,801.48,801.49,5556.325202100001
1484284080,801.49,801.49,800.98,800.98,30.685073293000002
1484284140,800.53,800.53,799.0,799.0,663.7423
1484284200,798.17,798.17,798.16,798.16,196.55382198
1484284260,798.0,798.0,798.0,798.0,1966.2720000000002
1484284320,798.0,798.0,798.0,798.0,1966.2720000000002
1484284380,797.66,797.66,793.33,793.5,19233.379840999998
1484284440,793.48,794.0,793.48,794.0,2854.3759295
1484284500,794.04,794.28,794.04,794.27,42.646613091999996
1484284560,794.28,794.28,794.27,794.28,19.178329249
1484284620,794.31,794.31,794.29,794.29,28.335694836
1484284680,794.3,794.3,794.29,794.3,4219.389820400001
1484284740,794.3,794.3,794.3,794.3,10.041882149
1484284800,794.3,794.3,794.3,794.3,4855.500299
1484284860,794.3,794.3,794.3,794.3,5256.685343
1484284920,794.31,794.31,794.3,794.3,15.969378305
1484284980,794.31,794.31,794.3,794.3,121.58787493
1484285040,794.33,794.33,794.32,794.32,19.201146044
1484285100,794.33,794.33,794.32,794.32,8086.4943557
1484285160,794.33,794.33,794.33,794.33,5.036401705199999
1484285220,794.33,794.38,794.29,794.29,12353.119482
1484285280,794.33,794.38,794.29,794.29,12353.119482
1484285340,794.34,794.59,794.34,794.49,5994.8590983
1484285400,794.45,794.45,794.01,794.01,4891.128138
1484285460,793.96,793.96,793.96,793.96,219.11165805
1484285520,793.95,793.95,793.84,793.86,3722.2063759000002
1484285580,793.95,793.95,793.84,793.86,3722.2063759000002
1484285640,793.85,793.86,793.85,793.86,248.1557469
1484285700,793.85,793.86,793.85,793.86,248.1557469
1484285760,793.85,793.85,790.0,791.0,85966.50979099999
1484285820,791.3,791.3,790.01,790.01,4188.0584837999995
1484285880,790.65,790.66,790.65,790.66,719.5005
1484285940,790.65,790.65,782.85,787.23,85182.60651900001
1484286000,787.22,787.23,787.22,787.22,2194.8286773
1484286060,787.22,787.23,784.96,785.26,28282.446309
1484286120,785.96,790.32,785.28,785.73,47564.859891
1484286180,787.69,787.97,787.69,787.97,43.521487281000006
1484286240,788.09,788.33,788.09,788.33,308.23422999999997
1484286300,788.34,788.99,788.34,788.35,396.43427048
1484286360,788.37,791.64,785.0,791.42,33111.248667
1484286420,790.03,792.21,790.03,792.21,14019.300702
1484286480,790.6,790.61,790.6,790.61,356.93848904
1484286540,790.47,790.47,790.47,790.47,15.8094
1484286600,790.46,790.46,786.01,790.02,23748.52432
1484286660,790.46,790.46,786.01,790.02,23748.52432
1484286720,788.71,788.72,786.26,788.72,1317.9958152000002
1484286780,787.48,787.48,787.48,787.48,236.24400000000003
1484286840,787.47,787.48,787.46,787.47,3791.3658888000004
1484286900,787.28,787.28,784.61,785.51,22003.025341999997
1484286960,785.51,785.71,785.51,785.7,4495.9043642
1484287020,785.71,785.72,785.71,785.72,1305.6514955999999
1484287080,785.72,785.73,785.72,785.73,2338.3233622
1484287140,785.73,792.52,785.73,792.52,7948.4923217
1484287200,792.5,792.5,791.25,792.0,7890.719914
1484287260,791.33,791.33,791.33,791.33,791.33
1484287320,790.84,790.84,790.84,790.84,3954.2
1484287380,790.85,790.85,790.85,790.85,80.05495379899999
1484287440,790.85,790.85,790.85,790.85,711.765
1484287500,790.85,792.52,790.84,792.52,8863.269602600001
1484287560,791.7,791.7,791.7,791.7,21.3759
1484287620,791.7,791.7,786.51,786.51,27407.544380000003
1484287680,791.68,792.0,791.68,792.0,9727.2175923
1484287740,791.71,791.71,791.71,791.71,15.8342
1484287800,791.72,791.74,791.72,791.74,3859.2661946000003
1484287860,791.74,793.96,791.74,792.22,14017.424931
1484287920,792.33,793.96,792.24,793.96,11867.586167
1484287980,792.33,793.96,792.24,793.96,11867.586167
1484288040,793.37,795.95,792.52,795.95,7486.833502699999
1484288100,793.37,795.95,792.52,795.95,7486.833502699999
1484288160,793.37,795.95,792.52,795.95,7486.833502699999
